# generated_by: scripts/build_concept_map.py
# generated_on: 2026-08-12
# vocabulary_source: OHDSI WebAPI 2.14.0
# vocabulary_service: https://atlas-demo.ohdsi.org/WebAPI
# source_corpus: data/fhir
# distinct_codings: 217
# resolution_counts: {"source_only": 11, "standard": 202, "unresolved": 4}
# licence_note: Derived from the OHDSI standardised vocabularies via a public WebAPI instance. Only the codes present in this repository's sample data are included. The vocabulary itself is licence-gated and is not redistributed here.
source_system,source_code,source_display,source_concept_id,target_concept_id,target_concept_name,target_domain_id,target_vocabulary_id,target_standard_concept,resolution,resolved_at,resolver
http://hl7.org/fhir/sid/cvx,08,"Hep B, adolescent or pediatric",40213304,40213304,"hepatitis B vaccine, pediatric or pediatric/adolescent dosage",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,10,IPV,40213160,40213160,"poliovirus vaccine, inactivated",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,113,"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed",40213227,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,114,meningococcal MCV4P,40213180,40213180,"meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,115,Tdap,40213230,40213230,"tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,119,"rotavirus, monovalent",40213216,40213216,"rotavirus, live, monovalent vaccine",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,133,Pneumococcal conjugate PCV 13,40213198,40213198,"pneumococcal conjugate vaccine, 13 valent",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,140,"Influenza, split virus, trivalent, PF",40213154,40213154,"Influenza, split virus, trivalent, injectable, preservative free",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,20,DTaP,40213281,40213281,"diphtheria, tetanus toxoids and acellular pertussis vaccine",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,207,"COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5mL dose or 50 mcg/0.25mL dose",724906,0,,,CVX,,source_only,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,208,"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose",724907,0,,,CVX,,source_only,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,49,Hib (PRP-OMP),40213314,40213314,"Haemophilus influenzae type b vaccine, PRP-OMP conjugate",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://hl7.org/fhir/sid/cvx,62,"HPV, quadrivalent",40213320,40213320,"human papilloma virus vaccine, quadrivalent",Drug,CVX,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,14959-1,Microalbumin/Creatinine [Mass Ratio] in Urine,3001802,3001802,Microalbumin/Creatinine [Mass Ratio] in Urine,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,3009966,3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",3014094,3014094,"Carbon dioxide, total [Moles/volume] in Blood",Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,2069-3,Chloride [Moles/volume] in Blood,3018572,3018572,Chloride [Moles/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,3007070,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,3027114,3027114,Cholesterol [Mass/volume] in Serum or Plasma,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,2339-0,Glucose [Mass/volume] in Blood,3000483,3000483,Glucose [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,3022192,3022192,Triglyceride [Mass/volume] in Serum or Plasma,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,29463-7,Body Weight,3025315,3025315,Body weight,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,2947-0,Sodium [Moles/volume] in Blood,3000285,3000285,Sodium [Moles/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,32207-3,Platelet distribution width [Entitic volume] in Blood by Automated count,3002736,3002736,Platelet distribution width [Entitic volume] in Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,32623-1,Platelet [Entitic mean volume] in Blood by Automated count,3043111,3043111,Platelet mean volume [Entitic volume] in Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,32624-9,Race,3046853,3046853,Race,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,33914-3,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,3030354,0,,,LOINC,,source_only,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,38483-4,Creatinine [Mass/volume] in Blood,3051825,3051825,Creatinine [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,39156-5,Body mass index (BMI) [Ratio],3038553,3038553,Body mass index (BMI) [Ratio],Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,3023314,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,3004410,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,49765-1,Calcium [Mass/volume] in Blood,3032503,3032503,Calcium [Mass/volume] in Blood,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,54899-0,Preferred language,40758030,40758030,Preferred language,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,55758-7,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],40758879,40758879,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,56051-6,Hispanic or Latino,40759172,40759172,Hispanic or Latino,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,56799-0,Address,40759918,40759918,Address,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
